,category,sub_category,href,items,price,category_mean_price,sub_cat_mean_price
118,Fashion,Women,https://www.jiomart.com/c/fashion/women/ethnic-wear/494,Dsk Studio Women Green All over print Crepe Kurta,229.0,465.0,613.0
119,Fashion,Women,https://www.jiomart.com/c/fashion/women/ethnic-wear/494,Liklee Women Green Solid Satin Saree,529.0,465.0,613.0
120,Fashion,Boys,https://www.jiomart.com/c/fashion/boys/western-wear/500,NEW GEN Boys Green Printed Cotton Dungaree,277.0,465.0,355.0
121,Fashion,Boys,https://www.jiomart.com/c/fashion/boys/western-wear/500,Graphic Print Crew-Neck T-shirt,125.0,465.0,355.0
122,Fashion,Boys,https://www.jiomart.com/c/fashion/boys/western-wear/500,KUCHIPOO Boys Multi Color Printed Cotton Blend Pack of 5 Tshirts,664.0,465.0,355.0
123,Fashion,Girls,https://www.jiomart.com/c/fashion/girls/western-wear/564,IndiWeaves Girls Cotton Printed Capri 3/4th Pants (Pack of 8),899.0,465.0,642.0
124,Fashion,Girls,https://www.jiomart.com/c/fashion/girls/western-wear/564,IndiWeaves Girls Cotton Printed Capri 3/4th Pants (Pack of 6),799.0,465.0,642.0
125,Fashion,Girls,https://www.jiomart.com/c/fashion/girls/western-wear/564,KAARIGARI Girls Red Solid Net Dress,229.0,465.0,642.0
126,Fashion,Junior Boys,https://www.jiomart.com/c/fashion/junior-boys/western-wear/520,Looper Placement Typographic Print Shorts,251.0,465.0,279.0
127,Fashion,Junior Boys,https://www.jiomart.com/c/fashion/junior-boys/western-wear/520,Looper Placement Typographic Print Shorts,251.0,465.0,279.0
128,Fashion,Junior Boys,https://www.jiomart.com/c/fashion/junior-boys/western-wear/520,Mid-Rise Bermuda Shorts with Insert Pockets,335.0,465.0,279.0
129,Fashion,Infants,https://www.jiomart.com/c/fashion/infants/western-wear/551,T-shirt with Dress Set,349.0,465.0,351.0
130,Fashion,Infants,https://www.jiomart.com/c/fashion/infants/western-wear/551,Dungarees with Printed T-shirt,356.0,465.0,351.0
131,Fashion,Infants,https://www.jiomart.com/c/fashion/infants/western-wear/551,Spider Man Print Bodysuit,349.0,465.0,351.0
132,Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/smartphones/777,"Samsung Galaxy M52 128 GB, 8 GB RAM Icy Blue, Mobile Phone",21999.0,26204.0,22332.0
133,Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/smartphones/777,"OnePlus Nord CE 2 Lite 5G,128 GB,6 GB RAM,Black Dusk,Mobile Phone",19999.0,26204.0,22332.0
134,Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/smartphones/777,"OnePlus Nord CE 2 5G 128 GB, 8 GB RAM, Blue, Mobile Phone",24999.0,26204.0,22332.0
135,Electronics,TV & Speaker,https://www.jiomart.com/c/electronics/tv-speaker/televisions/783,"TCL 81.28 cm (32 inch) 2Yr Warranty HD LED TV, D311T Series, 32D311T",12999.0,26204.0,13499.0
136,Electronics,TV & Speaker,https://www.jiomart.com/c/electronics/tv-speaker/televisions/783,"ONEPLUS 81.28 cm (32 inch) HD Smart LED TV, 32Y1",14499.0,26204.0,13499.0
137,Electronics,TV & Speaker,https://www.jiomart.com/c/electronics/tv-speaker/televisions/783,"Kodak 80 cm (32 inch) HD Ready LED Smart TV, 7XPRO Series 32HDX7XPRO, Quad Core Processor, Built-in Chromecast",12999.0,26204.0,13499.0
138,Electronics,Computers,https://www.jiomart.com/c/electronics/computers/laptops/775,Asus EC312WS VivoBook Flip 14 Convertible Laptop(11th Gen Intel Core i3-1115G4/8GB/?512GB SSD/Intel UHD Graphics/?Windows 11/Full HD) 35.56 cm (14 Inch),51999.0,26204.0,35956.0
